Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Netherlands,NLD,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.517,4.6,5.468,7.187,7.138,6.524,5.577,4.471,3.723,3.4,3.702,3.95,3.269,3.348,3.556,3.689
Netherlands,NLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.991,4.977,5.821,7.241,7.419,6.872,6.007,4.837,3.832,3.379,3.82,4.209,3.526,3.535,3.7,3.874
Netherlands,NLD,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.543,5.412,6.226,7.302,7.744,7.273,6.499,5.254,3.956,3.355,3.952,4.5,3.815,3.744,3.861,4.08
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.49999999920672,4.30002918567749,4.02408615746921,1.75542214874298,0.736267221765672,-1.97271922580408,0.193690071260534,1.82579006401834,2.80724541059601,2.19807571335009,-2.65365450102773,5.86649177292595,-1.43588213859842,4.08252481259281,4.34437475491529,..
Russian Federation,RUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.84939230255025,8.4404648593257,5.07474300799149,6.75466833903486,7.82016970013845,15.5343959935701,7.04243725413707,3.68333072334495,2.87831382614981,4.47202631837903,3.38219796948068,6.69445891957612,13.7436797398232,5.86571931748967,8.43486410496723,..
Russian Federation,RUS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,7.916,6.99,5.83,5.817,5.532,5.862,5.787,5.394,4.937,4.661,5.664,4.669,3.777,2.969,2.342,2.057
Russian Federation,RUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.407,6.571,5.484,5.513,5.212,5.615,5.591,5.238,4.871,4.513,5.62,4.749,3.867,3.076,2.43,2.133
Russian Federation,RUS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,6.875,6.133,5.122,5.192,4.873,5.352,5.381,5.071,4.8,4.356,5.574,4.833,3.961,3.188,2.523,2.212
Saudi Arabia,SAU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.0395150823517,11.758820686671,5.76157382270968,2.94563789152025,4.02467158380668,4.65512316652699,1.70404739202878,1.18210705878283,3.2269508901591,1.65158925617395,-3.80478901996312,6.51959698325419,12.0005874752929,0.542592439393161,1.99650173436159,..
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.33941733020905,5.8262163739404,2.86627029905053,3.51104209799866,2.24185348779063,1.22269318552328,2.05347076823965,-0.834845735027162,2.46594308994843,-1.19298644533328,3.37234961012303,3.06328988941548,2.47407371925372,2.32708518362706,1.68792112375809,..
Saudi Arabia,SAU,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,3.721,3.629,3.222,3.181,3.29,2.85,2.884,3.585,3.552,2.74,4.22,3.74,2.896,2.027,1.836,1.489
